<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.30	1772.42	1773.63	1764.25	1768.88	88874	0	0
2021.05.03	1766.81	1797.92	1766.04	1793.00	81766	0	0
2021.05.04	1792.20	1799.11	1770.89	1778.71	98111	0	0
2021.05.05	1778.19	1788.00	1770.36	1786.91	77871	0	0
2021.05.06	1787.09	1818.11	1781.98	1814.91	95442	0	0
2021.05.07	1814.64	1843.36	1812.84	1831.38	104223	0	0
2021.05.10	1833.15	1845.54	1830.02	1835.70	104756	0	0
2021.05.11	1836.02	1841.86	1818.07	1837.42	113645	0	0
2021.05.12	1836.96	1843.64	1813.25	1815.42	122164	0	0
2021.05.13	1815.35	1828.77	1808.78	1826.46	112202	0	0
2021.05.14	1826.41	1845.74	1819.77	1843.34	92821	0	0
2021.05.17	1842.58	1868.49	1842.10	1866.80	95491	0	0
2021.05.18	1866.19	1875.03	1863.26	1869.52	90427	0	0
2021.05.19	1869.02	1890.04	1852.21	1869.35	120640	0	0
2021.05.20	1870.38	1883.84	1863.83	1877.05	105877	0	0
2021.05.21	1877.23	1889.41	1870.09	1881.34	99111	0	0
2021.05.24	1881.34	1887.03	1875.25	1880.83	86178	0	0
2021.05.25	1880.91	1900.28	1872.74	1899.15	93162	0	0
2021.05.26	1898.61	1912.75	1890.69	1896.64	98817	0	0
2021.05.27	1896.47	1903.65	1888.29	1896.54	95402	0	0
2021.05.28	1896.96	1905.90	1882.32	1903.83	96276	0	0
2021.05.31	1903.81	1910.64	1902.07	1906.64	55235	0	0
2021.06.01	1907.39	1916.59	1892.38	1900.37	93711	0	0
2021.06.02	1900.14	1909.01	1894.40	1908.29	81307	0	0
2021.06.03	1908.25	1909.63	1865.32	1870.50	97625	0	0
2021.06.04	1871.47	1896.19	1855.83	1891.50	89897	0	0
2021.06.07	1890.52	1900.13	1881.56	1899.00	77830	0	0
2021.06.08	1899.28	1903.64	1883.77	1892.86	76291	0	0
2021.06.09	1892.05	1898.92	1887.35	1888.60	73509	0	0
2021.06.10	1888.87	1899.88	1869.87	1898.44	84383	0	0
2021.06.11	1898.09	1903.04	1874.51	1876.19	86761	0	0
2021.06.14	1876.60	1877.66	1844.76	1866.09	87527	0	0
2021.06.15	1866.32	1869.16	1851.65	1858.75	76537	0	0
2021.06.16	1859.33	1863.03	1803.47	1811.95	87390	0	0
2021.06.17	1812.73	1825.30	1767.19	1773.15	138634	0	0
2021.06.18	1774.99	1797.13	1760.87	1764.20	122964	0	0
2021.06.21	1768.08	1786.54	1766.42	1782.97	115482	0	0
2021.06.22	1783.77	1790.10	1772.42	1778.76	96964	0	0
2021.06.23	1779.47	1794.97	1773.32	1778.86	88156	0	0
2021.06.24	1778.63	1788.06	1772.90	1774.95	84952	0	0
2021.06.25	1776.32	1790.44	1773.70	1781.26	78243	0	0
2021.06.28	1781.86	1785.84	1770.63	1778.08	84839	0	0
2021.06.29	1778.51	1778.92	1750.67	1761.12	85883	0	0
2021.06.30	1762.04	1774.37	1753.38	1770.37	83205	0	0
2021.07.01	1770.04	1782.85	1765.73	1776.73	82132	0	0
2021.07.02	1776.88	1795.08	1774.29	1787.47	77649	0	0
2021.07.05	1787.49	1794.44	1784.48	1791.76	41000	0	0
2021.07.06	1791.54	1815.00	1790.10	1797.13	89690	0	0
2021.07.07	1796.16	1809.84	1793.86	1803.66	95280	0	0
2021.07.08	1803.69	1818.34	1794.68	1802.36	115442	0	0
2021.07.09	1802.87	1812.37	1796.67	1808.28	88659	0	0
2021.07.12	1807.69	1810.82	1791.68	1806.12	84744	0	0
2021.07.13	1806.30	1817.05	1798.67	1807.60	84472	0	0
2021.07.14	1808.06	1829.75	1804.56	1827.42	94666	0	0
2021.07.15	1827.29	1834.14	1820.29	1829.50	101279	0	0
2021.07.16	1829.69	1832.06	1808.43	1811.55	87964	0	0
2021.07.19	1811.64	1817.28	1795.00	1812.76	102786	0	0
2021.07.20	1812.88	1824.94	1805.07	1810.33	92040	0	0
2021.07.21	1810.43	1813.75	1794.68	1803.41	88033	0	0
2021.07.22	1803.65	1808.08	1792.77	1806.62	82198	0	0
2021.07.23	1806.90	1810.32	1790.11	1802.04	75842	0	0
2021.07.26	1802.25	1811.49	1796.41	1797.47	82180	0	0
2021.07.27	1798.07	1805.27	1793.68	1798.92	89661	0	0
2021.07.28	1800.04	1809.79	1792.44	1806.96	86324	0	0
2021.07.29	1807.31	1832.66	1807.12	1827.97	81948	0	0
2021.07.30	1828.52	1831.34	1810.30	1814.09	76298	0	0
2021.08.02	1813.83	1819.56	1805.80	1813.48	81279	0	0
2021.08.03	1813.11	1815.03	1807.14	1810.31	73018	0	0
2021.08.04	1810.31	1831.72	1806.43	1811.88	77633	0	0
2021.08.05	1812.05	1814.88	1797.84	1804.03	69365	0	0
2021.08.06	1804.62	1804.77	1758.68	1763.44	85877	0	0
2021.08.09	1764.43	1764.52	1677.77	1729.47	119055	0	0
2021.08.10	1729.68	1738.31	1717.74	1729.10	84501	0	0
2021.08.11	1729.43	1754.42	1724.03	1751.54	92915	0	0
2021.08.12	1751.26	1758.18	1741.64	1752.64	76768	0	0
2021.08.13	1752.99	1779.93	1751.71	1779.38	71691	0	0
2021.08.16	1779.90	1789.27	1770.81	1787.11	85939	0	0
2021.08.17	1787.16	1795.52	1780.56	1785.93	81147	0	0
2021.08.18	1785.87	1793.81	1777.39	1787.45	88933	0	0
2021.08.19	1787.79	1792.40	1774.52	1779.90	98501	0	0
2021.08.20	1780.08	1788.46	1778.34	1780.96	78637	0	0
2021.08.23	1781.15	1806.44	1776.45	1805.31	77801	0	0
2021.08.24	1804.92	1809.55	1800.69	1802.97	61194	0	0
2021.08.25	1802.51	1802.85	1782.60	1790.45	77314	0	0
2021.08.26	1791.04	1798.21	1780.08	1791.92	70047	0	0
2021.08.27	1792.31	1819.28	1785.02	1818.13	73034	0	0
2021.08.30	1817.90	1823.17	1807.79	1810.26	64092	0	0
2021.08.31	1809.86	1819.21	1801.61	1813.74	80719	0	0
2021.09.01	1814.36	1820.09	1808.70	1814.18	69766	0	0
2021.09.02	1813.64	1817.15	1804.94	1809.54	55185	0	0
2021.09.03	1809.39	1834.00	1808.98	1827.52	70051	0	0
2021.09.06	1827.98	1830.29	1821.42	1823.22	38433	0	0
2021.09.07	1823.74	1827.24	1792.37	1794.27	84049	0	0
2021.09.08	1794.88	1802.17	1782.37	1789.19	82031	0	0
2021.09.09	1789.94	1800.93	1783.78	1794.20	88206	0	0
2021.09.10	1794.04	1803.87	1787.24	1787.66	76067	0	0
2021.09.13	1788.93	1798.41	1783.70	1793.48	84206	0	0
2021.09.14	1793.24	1808.65	1780.84	1804.60	84691	0	0
2021.09.15	1804.22	1806.95	1790.73	1793.63	80906	0	0
2021.09.16	1794.12	1796.19	1745.30	1753.40	106804	0	0
2021.09.17	1753.54	1767.49	1747.36	1754.08	89532	0	0
2021.09.20	1754.18	1767.00	1742.17	1764.22	80288	0	0
2021.09.21	1764.77	1781.73	1757.89	1774.30	78679	0	0
2021.09.22	1774.92	1787.20	1764.65	1768.01	97397	0	0
2021.09.23	1768.41	1776.61	1737.93	1742.41	104222	0	0
2021.09.24	1744.48	1757.66	1740.47	1750.68	83952	0	0
2021.09.27	1748.64	1760.87	1744.88	1750.13	82037	0	0
2021.09.28	1750.63	1754.48	1728.14	1733.86	99554	0	0
2021.09.29	1734.00	1745.55	1721.65	1726.50	90808	0	0
2021.09.30	1726.52	1764.21	1722.21	1757.00	90753	0	0
2021.10.01	1756.36	1764.31	1749.78	1760.52	90333	0	0
2021.10.04	1761.06	1770.57	1747.71	1769.30	89637	0	0
2021.10.05	1769.19	1769.36	1748.61	1759.93	81503	0	0
2021.10.06	1760.16	1765.12	1745.88	1762.65	96004	0	0
2021.10.07	1762.85	1766.96	1751.94	1755.09	78376	0	0
2021.10.08	1755.93	1781.36	1753.37	1756.79	89826	0	0
2021.10.11	1757.38	1761.03	1750.17	1754.19	70219	0	0
2021.10.12	1753.72	1769.39	1750.73	1760.04	79581	0	0
2021.10.13	1760.09	1796.16	1757.87	1793.00	88673	0	0
2021.10.14	1792.99	1800.59	1786.71	1796.02	65555	0	0
2021.10.15	1795.84	1796.46	1764.83	1767.63	79543	0	0
2021.10.18	1766.83	1772.08	1760.31	1764.77	93200	0	0
2021.10.19	1764.70	1785.12	1762.84	1769.45	81323	0	0
2021.10.20	1769.41	1788.43	1766.85	1781.98	83805	0	0
2021.10.21	1781.96	1789.46	1776.50	1782.88	91930	0	0
2021.10.22	1783.34	1813.84	1782.95	1792.56	90496	0	0
2021.10.25	1792.97	1810.03	1792.23	1807.66	77429	0	0
2021.10.26	1807.29	1808.37	1782.39	1792.80	81682	0	0
2021.10.27	1793.31	1799.07	1783.51	1796.93	78973	0	0
2021.10.28	1796.45	1810.41	1792.32	1798.80	87512	0	0
2021.10.29	1799.41	1801.15	1771.97	1782.96	104879	0	0
2021.11.01	1782.92	1795.81	1779.08	1793.20	80128	0	0
2021.11.02	1793.12	1796.38	1786.41	1787.95	68519	0	0
2021.11.03	1787.71	1788.30	1758.82	1769.63	96353	0	0
2021.11.04	1770.56	1798.91	1770.50	1791.57	84894	0	0
2021.11.05	1791.05	1818.28	1784.98	1817.93	94825	0	0
2021.11.08	1816.21	1826.45	1812.44	1824.27	86413	0	0
2021.11.09	1824.75	1832.73	1819.18	1831.85	85852	0	0
2021.11.10	1831.78	1868.47	1822.35	1849.25	102405	0	0
2021.11.11	1849.30	1865.98	1842.92	1861.98	83271	0	0
2021.11.12	1861.75	1868.66	1845.24	1864.69	92235	0	0
2021.11.15	1866.10	1870.53	1856.33	1862.68	82768	0	0
2021.11.16	1862.88	1877.13	1849.70	1850.40	87586	0	0
2021.11.17	1850.30	1868.03	1849.55	1867.32	76728	0	0
2021.11.18	1866.64	1870.97	1855.14	1858.93	74090	0	0
2021.11.19	1859.03	1865.74	1843.03	1845.94	89251	0	0
2021.11.22	1843.02	1849.08	1802.28	1804.78	96896	0	0
2021.11.23	1807.67	1812.37	1781.98	1789.00	100780	0	0
2021.11.24	1789.27	1796.41	1778.55	1788.49	97123	0	0
2021.11.25	1788.16	1795.15	1785.96	1788.61	37233	0	0
2021.11.26	1790.49	1815.53	1780.36	1790.96	100396	0	0
2021.11.29	1789.27	1799.41	1781.14	1784.59	94871	0	0
2021.11.30	1785.07	1808.77	1769.88	1774.81	128598	0	0
2021.12.01	1775.08	1794.22	1772.21	1781.78	106556	0	0
2021.12.02	1781.74	1783.39	1761.86	1768.08	61778	0	0
2021.12.03	1769.78	1786.07	1766.12	1783.44	102436	0	0
2021.12.06	1782.83	1787.76	1775.73	1778.41	87959	0	0
2021.12.07	1778.92	1787.79	1772.24	1784.10	82895	0	0
2021.12.08	1784.30	1793.10	1779.61	1783.01	90559	0	0
2021.12.09	1783.04	1787.71	1772.84	1775.12	80620	0	0
2021.12.10	1776.05	1789.51	1770.13	1782.87	69364	0	0
2021.12.13	1782.43	1791.56	1781.83	1786.60	63927	0	0
2021.12.14	1785.91	1789.50	1766.48	1770.56	65107	0	0
2021.12.15	1771.45	1780.86	1751.04	1777.04	84421	0	0
2021.12.16	1777.89	1799.68	1775.58	1799.19	90186	0	0
2021.12.17	1798.69	1814.25	1795.83	1797.48	76904	0	0
2021.12.20	1799.30	1804.14	1788.35	1790.86	74311	0	0
2021.12.21	1791.46	1800.46	1784.86	1788.89	70446	0	0
2021.12.22	1789.04	1805.03	1785.88	1803.57	60786	0	0
2021.12.23	1803.76	1810.75	1798.90	1808.48	57565	0	0
2021.12.27	1807.31	1813.49	1802.99	1811.89	54231	0	0
2021.12.28	1811.45	1820.21	1805.05	1806.07	56500	0	0
2021.12.29	1806.31	1807.70	1789.42	1804.33	66716	0	0
2021.12.30	1804.19	1817.17	1796.18	1814.59	57176	0	0
2021.12.31	1814.85	1828.61	1814.30	1828.34	47699	0	0
2022.01.03	1830.11	1831.69	1798.37	1801.25	71573	0	0
2022.01.04	1802.37	1816.75	1798.61	1814.54	83946	0	0
2022.01.05	1814.12	1829.64	1808.30	1810.21	79200	0	0
2022.01.06	1810.65	1811.55	1786.45	1790.90	103727	0	0
2022.01.07	1791.20	1798.68	1782.64	1796.62	80849	0	0
2022.01.10	1795.74	1802.34	1790.35	1801.66	80297	0	0
2022.01.11	1800.69	1823.27	1800.11	1821.51	81938	0	0
2022.01.12	1820.76	1828.03	1814.72	1826.15	80121	0	0
2022.01.13	1825.88	1828.18	1812.31	1822.56	82863	0	0
2022.01.14	1821.56	1829.22	1814.69	1817.38	89564	0	0
2022.01.17	1817.82	1823.17	1813.12	1819.20	45209	0	0
2022.01.18	1818.55	1822.76	1805.79	1813.65	101991	0	0
2022.01.19	1813.93	1843.33	1810.28	1840.37	91850	0	0
2022.01.20	1839.72	1847.93	1835.97	1839.47	91505	0	0
2022.01.21	1839.08	1843.24	1828.49	1834.39	97740	0	0
2022.01.24	1832.31	1844.35	1829.67	1843.00	112224	0	0
2022.01.25	1842.85	1853.88	1834.89	1847.98	97444	0	0
2022.01.26	1847.79	1850.08	1814.98	1819.47	97292	0	0
2022.01.27	1819.49	1822.15	1791.82	1797.13	114403	0	0
2022.01.28	1797.77	1799.44	1780.31	1791.81	97279	0	0
2022.01.31	1789.54	1799.92	1785.59	1797.30	80477	0	0
2022.02.01	1798.04	1808.78	1795.76	1801.03	76572	0	0
2022.02.02	1800.58	1810.79	1794.41	1806.79	71793	0	0
2022.02.03	1806.93	1808.96	1788.70	1804.81	81724	0	0
2022.02.04	1805.29	1814.92	1792.19	1808.20	79437	0	0
2022.02.07	1808.75	1823.57	1807.90	1820.49	79449	0	0
2022.02.08	1820.78	1828.77	1815.46	1825.97	67350	0	0
2022.02.09	1825.61	1835.85	1824.69	1832.91	63018	0	0
2022.02.10	1833.08	1841.96	1821.76	1826.63	88306	0	0
2022.02.11	1826.75	1865.50	1820.98	1859.00	108232	0	0
2022.02.14	1860.13	1874.15	1850.81	1871.35	116854	0	0
2022.02.15	1871.19	1879.49	1844.56	1853.50	101871	0	0
2022.02.16	1853.78	1872.57	1850.30	1869.64	85069	0	0
2022.02.17	1869.76	1901.12	1867.85	1898.41	112757	0	0
2022.02.18	1898.77	1902.49	1886.58	1897.46	103973	0	0
2022.02.21	1905.10	1908.26	1887.66	1903.03	70720	0	0
2022.02.22	1910.34	1914.10	1891.42	1898.51	121631	0	0
2022.02.23	1898.84	1910.46	1889.67	1909.04	84973	0	0
2022.02.24	1910.37	1974.41	1878.17	1903.93	156338	0	0
2022.02.25	1905.62	1921.93	1882.97	1888.71	115194	0	0
2022.02.28	1921.05	1928.22	1890.96	1908.93	112990	0	0
2022.03.01	1907.85	1950.18	1901.42	1945.01	107037	0	0
2022.03.02	1944.96	1947.94	1913.74	1928.59	108014	0	0
2022.03.03	1929.20	1941.20	1922.05	1936.23	98171	0	0
2022.03.04	1936.92	1970.77	1929.66	1970.46	119337	0	0
2022.03.07	1978.65	2002.60	1961.01	1997.60	151515	0	0
2022.03.08	1996.15	2070.27	1981.05	2049.70	152785	0	0
2022.03.09	2049.53	2059.18	1975.78	1991.85	140027	0	0
2022.03.10	1992.26	2009.16	1970.82	1996.70	113642	0	0
2022.03.11	1996.70	1999.12	1958.70	1987.31	84636	0	0
2022.03.14	1982.16	1984.08	1949.66	1950.72	83698	0	0
2022.03.15	1952.11	1954.60	1907.09	1917.69	90366	0	0
2022.03.16	1918.94	1929.48	1895.08	1926.11	83374	0	0
2022.03.17	1926.56	1949.81	1923.19	1942.49	73924	0	0
2022.03.18	1942.18	1945.27	1917.83	1919.98	67096	0	0
2022.03.21	1922.07	1941.19	1917.98	1935.89	67381	0	0
2022.03.22	1935.80	1938.40	1910.73	1921.36	73067	0	0
2022.03.23	1921.45	1948.35	1915.50	1944.20	66247	0	0
2022.03.24	1943.94	1966.12	1937.40	1957.59	73903	0	0
2022.03.25	1958.33	1964.26	1943.10	1957.78	86831	0	0
2022.03.28	1957.78	1958.37	1917.01	1922.67	101322	0	0
2022.03.29	1922.15	1929.33	1890.10	1919.50	104065	0	0
2022.03.30	1920.15	1938.51	1915.96	1932.64	85845	0	0
2022.03.31	1933.23	1949.77	1919.18	1937.11	90043	0	0
2022.04.01	1937.27	1939.52	1918.07	1924.35	84897	0	0
2022.04.04	1925.57	1936.90	1915.55	1932.73	74896	0	0
2022.04.05	1932.68	1944.59	1918.02	1923.43	86384	0	0
2022.04.06	1922.91	1933.40	1915.10	1925.26	105244	0	0
2022.04.07	1924.45	1937.76	1920.55	1931.45	89458	0	0
2022.04.08	1931.78	1948.21	1927.71	1946.12	77057	0	0
2022.04.11	1946.97	1969.74	1939.97	1953.63	94711	0	0
2022.04.12	1952.91	1978.57	1949.82	1966.48	93144	0	0
2022.04.13	1967.04	1981.55	1962.88	1978.16	84631	0	0
2022.04.14	1977.07	1980.35	1960.56	1973.37	87224	0	0
2022.04.18	1972.01	1998.36	1972.01	1978.63	88001	0	0
2022.04.19	1976.68	1981.97	1943.68	1950.12	97856	0	0
2022.04.20	1949.98	1958.30	1939.35	1957.52	99291	0	0
2022.04.21	1956.72	1957.38	1936.81	1951.20	96808	0	0
2022.04.22	1950.68	1955.62	1926.53	1930.94	106790	0	0
2022.04.25	1933.61	1934.43	1891.49	1897.91	116812	0	0
2022.04.26	1898.36	1911.19	1895.70	1905.17	101503	0	0
2022.04.27	1905.79	1907.00	1881.37	1885.88	100997	0	0
2022.04.28	1885.40	1896.74	1872.04	1894.57	96308	0	0
2022.04.29	1894.91	1919.90	1892.58	1896.23	92078	0	0
2022.05.02	1897.82	1899.89	1854.47	1862.84	87456	0	0
2022.05.03	1863.53	1878.13	1850.42	1868.21	86964	0	0
2022.05.04	1868.06	1889.69	1861.45	1881.23	76748	0	0
2022.05.05	1882.26	1909.79	1872.48	1877.10	105408	0	0
2022.05.06	1876.59	1892.54	1866.12	1882.61	98700	0	0
2022.05.09	1883.87	1885.63	1851.69	1853.83	102817	0	0
2022.05.10	1854.24	1865.46	1835.46	1838.24	113824	0	0
2022.05.11	1839.08	1858.12	1832.03	1852.44	105029	0	0
2022.05.12	1851.88	1858.76	1821.29	1821.80	119056	0	0
2022.05.13	1822.64	1828.82	1799.14	1811.34	100323	0	0
2022.05.16	1813.76	1826.89	1791.41	1823.93	87206	0	0
2022.05.17	1825.08	1836.11	1812.90	1815.04	92618	0	0
2022.05.18	1814.72	1824.70	1807.39	1816.52	99680	0	0
2022.05.19	1816.48	1849.18	1810.96	1842.10	114885	0	0
2022.05.20	1841.58	1849.43	1832.38	1846.30	91680	0	0
2022.05.23	1849.38	1865.37	1843.46	1853.49	89225	0	0
2022.05.24	1853.65	1869.70	1849.35	1866.40	79475	0	0
2022.05.25	1865.30	1868.08	1841.99	1853.22	81834	0	0
2022.05.26	1853.31	1854.35	1840.70	1850.68	80181	0	0
2022.05.27	1851.72	1861.94	1847.99	1853.00	74015	0	0
2022.05.30	1852.75	1864.00	1848.18	1855.22	46142	0	0
2022.05.31	1855.84	1857.16	1835.11	1837.46	83974	0	0
2022.06.01	1837.06	1850.05	1828.51	1846.42	81855	0	0
2022.06.02	1846.93	1870.39	1844.11	1868.54	67685	0	0
2022.06.03	1869.42	1874.11	1847.33	1850.90	63964	0	0
2022.06.06	1849.99	1857.80	1840.63	1841.54	69778	0	0
2022.06.07	1840.84	1855.57	1837.07	1852.38	75957	0	0
2022.06.08	1852.66	1859.66	1844.64	1853.12	69822	0	0
2022.06.09	1852.83	1855.35	1840.06	1847.98	81767	0	0
2022.06.10	1847.88	1875.92	1825.08	1871.38	99254	0	0
2022.06.13	1876.74	1879.02	1819.04	1819.36	122345	0	0
2022.06.14	1819.56	1831.54	1805.09	1808.24	110091	0	0
2022.06.15	1808.24	1841.92	1807.50	1833.86	116938	0	0
2022.06.16	1833.69	1857.53	1815.80	1856.65	121424	0	0
2022.06.17	1855.10	1855.26	1835.04	1840.08	96954	0	0
2022.06.20	1837.44	1846.06	1834.75	1838.42	65018	0	0
2022.06.21	1837.84	1843.63	1828.55	1833.06	79703	0	0
2022.06.22	1832.96	1847.76	1823.41	1837.84	85649	0	0
2022.06.23	1837.43	1846.07	1822.51	1822.59	88091	0	0
2022.06.24	1823.29	1831.76	1816.93	1826.98	81858	0	0
2022.06.27	1835.30	1841.04	1820.73	1822.63	73948	0	0
2022.06.28	1822.68	1829.52	1818.42	1819.90	65105	0	0
2022.06.29	1820.22	1833.07	1812.03	1817.80	72947	0	0
2022.06.30	1818.04	1825.06	1802.74	1807.12	80170	0	0
2022.07.01	1806.74	1809.30	1784.53	1808.94	88237	0	0
2022.07.04	1811.41	1814.30	1803.97	1807.96	53417	0	0
2022.07.05	1807.82	1812.16	1763.88	1764.58	89769	0	0
2022.07.06	1766.12	1772.86	1732.25	1739.08	97276	0	0
2022.07.07	1740.04	1749.11	1736.45	1740.09	76829	0	0
2022.07.08	1740.58	1752.34	1732.93	1742.45	81360	0	0
2022.07.11	1741.09	1744.57	1731.24	1734.02	67246	0	0
2022.07.12	1733.57	1744.40	1723.24	1726.09	76606	0	0
2022.07.13	1725.84	1745.36	1707.15	1735.56	85230	0	0
2022.07.14	1735.68	1736.29	1697.56	1709.72	93524	0	0
2022.07.15	1710.79	1716.52	1699.09	1707.32	82668	0	0
2022.07.18	1706.79	1723.91	1705.94	1708.99	78411	0	0
2022.07.19	1709.80	1718.44	1705.38	1711.56	71487	0	0
2022.07.20	1711.46	1714.46	1692.51	1696.53	71665	0	0
2022.07.21	1696.30	1720.18	1680.92	1718.22	84071	0	0
2022.07.22	1717.75	1739.25	1712.89	1727.38	83882	0	0
2022.07.25	1726.70	1736.22	1714.74	1719.64	77996	0	0
2022.07.26	1719.11	1728.16	1713.62	1717.20	76775	0	0
2022.07.27	1717.41	1740.24	1711.50	1734.33	81867	0	0
2022.07.28	1734.65	1757.10	1734.07	1755.83	96752	0	0
2022.07.29	1755.31	1767.94	1752.07	1766.00	96059	0	0
2022.08.01	1764.18	1775.24	1758.36	1772.12	90991	0	0
2022.08.02	1771.68	1788.09	1760.50	1761.04	104084	0	0
2022.08.03	1761.28	1772.80	1754.30	1765.47	89978	0	0
2022.08.04	1765.22	1794.94	1763.25	1791.13	82113	0	0
2022.08.05	1790.61	1794.90	1765.02	1775.42	88518	0	0
2022.08.08	1772.53	1790.05	1770.82	1788.98	74254	0	0
2022.08.09	1788.82	1800.40	1783.26	1794.31	72016	0	0
2022.08.10	1794.55	1807.92	1787.61	1792.19	81014	0	0
2022.08.11	1792.08	1799.27	1783.58	1789.44	80916	0	0
2022.08.12	1789.82	1802.17	1784.94	1801.62	75955	0	0
2022.08.15	1802.03	1802.27	1773.02	1779.42	74871	0	0
2022.08.16	1779.52	1783.16	1771.46	1775.46	67267	0	0
2022.08.17	1775.72	1782.34	1759.87	1762.00	85950	0	0
2022.08.18	1762.41	1772.42	1755.44	1758.38	79925	0	0
2022.08.19	1759.06	1759.31	1745.58	1747.28	80689	0	0
2022.08.22	1746.32	1749.12	1727.82	1736.15	80492	0	0
2022.08.23	1735.78	1754.12	1730.84	1747.79	81030	0	0
2022.08.24	1747.45	1755.86	1742.50	1751.29	77464	0	0
2022.08.25	1751.20	1765.50	1749.94	1758.62	77146	0	0
2022.08.26	1758.87	1758.89	1734.24	1738.08	87928	0	0
2022.08.29	1736.82	1745.52	1720.36	1737.45	86272	0	0
2022.08.30	1737.84	1740.50	1721.21	1724.23	76322	0	0
2022.08.31	1723.64	1726.55	1709.65	1710.99	88634	0	0
2022.09.01	1711.12	1711.46	1688.84	1697.55	89717	0	0
